gen	nevals	avg     	std     	min    	max
0  	200   	-747.295	437.704 	-1000  	38 
1  	200   	-529.77 	504.396 	-1000  	39 
2  	200   	-332.518	479.095 	-1000  	39 
3  	200   	-196.035	408.274 	-1000  	39 
4  	200   	-89.065 	303.696 	-1000  	39 
5  	200   	-37.7575	220.854 	-1000  	39 
6  	200   	-26.6717	198.818 	-1000  	39 
7  	200   	-5.47792	142.292 	-1000  	39 
8  	200   	5.7725  	101.434 	-1000  	42 
9  	200   	12.9096 	72.4225 	-1000  	42 
10 	200   	15.4417 	72.6813 	-1000  	42 
11 	200   	18.1992 	73.0155 	-1000  	42 
12 	200   	21.2454 	73.278  	-1000  	42 
13 	200   	28.6783 	11.2113 	9.25   	42 
14 	200   	31.5983 	10.4075 	9.75   	42 
15 	200   	34.0213 	9.28454 	9.75   	42 
16 	200   	35.6512 	8.55071 	9.75   	42 
17 	200   	37.1454 	7.47514 	9.75   	42 
18 	200   	38.1183 	6.79484 	12.6667	42 
19 	200   	38.7558 	6.31754 	12.6667	42 
20 	200   	39.495  	5.39791 	13     	42 
21 	200   	40.33   	4.05353 	17     	42 
22 	200   	40.89   	3.08673 	17     	42 
23 	200   	41.2    	2.69815 	17     	42 
24 	200   	41.365  	2.60802 	17     	42 
25 	200   	41.54   	2.2668  	17     	42 
26 	200   	41.68   	1.44139 	27     	42 
27 	200   	41.755  	1.32475 	27     	42 
28 	200   	41.8    	1.27671 	27     	42 
29 	200   	41.83   	1.20876 	27     	42 
30 	200   	41.915  	0.581184	36     	42 
31 	200   	41.955  	0.350678	38     	42 
32 	200   	41.955  	0.350678	38     	42 
33 	200   	41.975  	0.210654	40     	42 
34 	200   	41.99   	0.141067	40     	42 
35 	200   	41.99   	0.141067	40     	42 
36 	200   	41.99   	0.141067	40     	42 
37 	200   	41.99   	0.141067	40     	42 
38 	200   	41.99   	0.141067	40     	42 
39 	200   	41.99   	0.141067	40     	42 
40 	200   	41.99   	0.141067	40     	42 
41 	200   	41.99   	0.141067	40     	42 
42 	200   	42      	0       	42     	42 
43 	200   	42      	0       	42     	42 
44 	200   	42      	0       	42     	42 
45 	200   	42      	0       	42     	42 
46 	200   	42      	0       	42     	42 
47 	200   	42      	0       	42     	42 
48 	200   	42      	0       	42     	42 
49 	200   	42      	0       	42     	42 
50 	200   	42      	0       	42     	42 