gen	nevals	avg     	std      	min  	max  
0  	200   	-52.4425	250.196  	-1000	139.7
1  	200   	20.4185 	28.7386  	9.2  	193.5
2  	200   	32.2855 	47.5913  	9.2  	326.2
3  	200   	44.1195 	57.2693  	9.2  	326.2
4  	200   	61.1615 	68.8403  	9.6  	326.2
5  	200   	78.9935 	74.3588  	9.6  	326.2
6  	200   	99.2165 	81.873   	9.6  	326.2
7  	200   	115.451 	86.1624  	9.6  	326.2
8  	200   	133.283 	85.8875  	9.6  	326.2
9  	200   	154.373 	82.1045  	9.6  	326.2
10 	200   	167.515 	77.2505  	9.6  	326.2
11 	200   	183.177 	71.8669  	9.6  	326.2
12 	200   	192.727 	68.4684  	9.6  	405.6
13 	200   	202.993 	65.76    	10   	405.6
14 	200   	209.13  	65.3797  	10   	405.6
15 	200   	214.102 	65.473   	10   	405.6
16 	200   	226.244 	60.3366  	10   	405.6
17 	200   	232.932 	57.2543  	10   	405.6
18 	200   	241.138 	56.8139  	10   	405.6
19 	200   	246.533 	57.6693  	10   	405.6
20 	200   	256.535 	59.9996  	10   	424.9
21 	200   	263.995 	63.4336  	10   	499.4
22 	200   	269.474 	64.2182  	10   	499.4
23 	200   	277.161 	64.6001  	10   	499.4
24 	200   	284.627 	63.879   	10   	499.4
25 	200   	292.071 	65.5968  	10   	499.4
26 	200   	299.401 	65.2476  	10   	499.4
27 	200   	307.059 	63.7344  	10   	499.4
28 	200   	315.969 	63.1117  	10   	499.4
29 	200   	322.042 	62.7     	20.6 	499.4
30 	200   	328.581 	61.5413  	44.6 	499.4
31 	200   	335.02  	61.1271  	44.6 	499.4
32 	200   	342.369 	63.0501  	44.6 	499.4
33 	200   	347.424 	64.4952  	44.6 	499.4
34 	200   	357.828 	64.3739  	184.2	499.4
35 	200   	361.951 	66.4285  	184.2	499.4
36 	200   	365.91  	67.3633  	184.2	500  
37 	200   	372.592 	68.2087  	184.2	500  
38 	200   	380.426 	68.8366  	184.2	500  
39 	200   	387.463 	69.8279  	184.2	500  
40 	200   	392.845 	69.8923  	184.2	500  
41 	200   	399.616 	69.5452  	184.2	500  
42 	200   	404.071 	69.0381  	184.2	500  
43 	200   	409.83  	68.8625  	191.1	500  
44 	200   	416.377 	68.0563  	191.1	500  
45 	200   	423.149 	66.5119  	191.1	500  
46 	200   	428.642 	65.6806  	191.1	500  
47 	200   	432.772 	65.2199  	191.1	500  
48 	200   	440.425 	60.9886  	191.1	500  
49 	200   	444.135 	59.9534  	191.1	500  
50 	200   	448.556 	58.3266  	191.1	500  
51 	200   	453.307 	56.2939  	191.1	500  
52 	200   	456.433 	56.4494  	191.1	500  
53 	200   	459.754 	56.8834  	191.1	500  
54 	200   	464.023 	55.0406  	191.1	500  
55 	200   	468.578 	53.4336  	191.1	500  
56 	200   	472.499 	51.1359  	191.1	500  
57 	200   	476.74  	47.0162  	191.1	500  
58 	200   	480.331 	43.877   	191.1	500  
59 	200   	482.388 	42.3955  	191.1	500  
60 	200   	484.66  	40.6173  	191.1	500  
61 	200   	486.224 	39.1272  	191.1	500  
62 	200   	489.993 	29.7414  	326.2	500  
63 	200   	490.998 	28.8957  	326.2	500  
64 	200   	492.855 	25.2948  	326.2	500  
65 	200   	494.129 	24.3747  	326.2	500  
66 	200   	494.426 	24.1958  	326.2	500  
67 	200   	495.053 	23.7756  	326.2	500  
68 	200   	497.387 	15.9726  	326.2	500  
69 	200   	497.823 	15.3567  	326.2	500  
70 	200   	498.084 	14.9944  	326.2	500  
71 	200   	498.099 	14.996   	326.2	500  
72 	200   	498.131 	14.9995  	326.2	500  
73 	200   	499.007 	8.74379  	392.5	500  
74 	200   	499.112 	8.66155  	392.5	500  
75 	200   	499.118 	8.66195  	392.5	500  
76 	200   	499.126 	8.66255  	392.5	500  
77 	200   	499.433 	7.58137  	392.5	500  
78 	200   	499.442 	7.58168  	392.5	500  
79 	200   	499.447 	7.58189  	392.5	500  
80 	200   	499.451 	7.58199  	392.5	500  
81 	200   	499.454 	7.58208  	392.5	500  
82 	200   	499.454 	7.58208  	392.5	500  
83 	200   	499.457 	7.58218  	392.5	500  
84 	200   	499.867 	1.79212  	474.6	500  
85 	200   	499.867 	1.79212  	474.6	500  
86 	200   	499.867 	1.79212  	474.6	500  
87 	200   	499.87  	1.79184  	474.6	500  
88 	200   	499.87  	1.79184  	474.6	500  
89 	200   	499.87  	1.79184  	474.6	500  
90 	200   	499.87  	1.79184  	474.6	500  
91 	200   	499.997 	0.0423202	499.4	500  
92 	200   	499.997 	0.0423202	499.4	500  
93 	200   	499.997 	0.0423202	499.4	500  
94 	200   	499.997 	0.0423202	499.4	500  
95 	200   	499.997 	0.0423202	499.4	500  
96 	200   	499.997 	0.0423202	499.4	500  
97 	200   	499.997 	0.0423202	499.4	500  
98 	200   	499.997 	0.0423202	499.4	500  
99 	200   	499.997 	0.0423202	499.4	500  
100	200   	499.997 	0.0423202	499.4	500  