gen	nevals	avg     	std    	min     	max     
0  	100   	-505.404	367.316	-1000   	-144.297
1  	100   	-237.049	145.696	-1000   	-126.773
2  	100   	-181.343	30.0122	-296.678	-126.773
3  	100   	-169.188	25.3498	-290.012	-126.773
4  	100   	-161.276	18.3023	-225.773	-126.773
5  	100   	-155.174	13.6781	-213.533	-126.773
6  	100   	-151.358	11.6601	-187.228	-106.454
7  	100   	-147.804	12.5988	-187.228	-92.619 
8  	100   	-146.076	11.5132	-187.228	-92.619 
9  	100   	-144.009	10.6489	-169.489	-92.619 
10 	100   	-141.555	10.8829	-166.19 	-92.619 
11 	100   	-140.292	10.6563	-166.19 	-92.619 
12 	100   	-139.578	10.3023	-163.361	-92.619 
13 	100   	-138.257	9.91559	-155.491	-92.619 
14 	100   	-136.455	10.9544	-155.491	-92.619 
15 	100   	-133.815	13.0843	-152.913	-83.8961
16 	100   	-130.382	14.9867	-152.913	-76.7713
17 	100   	-127.752	16.151 	-152.913	-76.7713
18 	100   	-124.097	18.1365	-152.913	-73.9975
19 	100   	-121.994	18.4813	-152.913	-73.9975
20 	100   	-118.31 	19.2179	-152.913	-71.8945
21 	100   	-114.994	19.9328	-143.848	-68.8884
22 	100   	-111.878	19.2264	-143.848	-68.8884
23 	100   	-108.546	19.0432	-143.848	-68.8884
24 	100   	-106.779	18.1844	-143.848	-68.8884
25 	100   	-105.018	18.0098	-143.848	-68.8884
26 	100   	-103.451	17.6527	-143.848	-68.8884
27 	100   	-101.326	16.8758	-141.438	-68.8884
28 	100   	-98.6795	16.1109	-141.438	-51.21  
29 	100   	-96.9026	15.5908	-141.438	-51.21  
30 	100   	-94.1518	14.7316	-141.438	-51.21  
31 	100   	-93.2401	14.6666	-141.438	-51.21  
32 	100   	-91.2053	14.3706	-141.438	-51.21  
33 	100   	-89.561 	14.8164	-141.438	-50.6038
34 	100   	-88.0304	13.8979	-131.668	-47.6317
35 	100   	-86.295 	14.1591	-131.668	-47.6317
36 	100   	-84.9584	14.0548	-131.668	-47.6317
37 	100   	-83.5184	14.1689	-131.668	-47.0153
38 	100   	-82.0207	13.2959	-123.797	-47.0153
39 	100   	-81.3272	13.2848	-123.797	-47.0153
40 	100   	-79.9701	13.5914	-123.797	-47.0153
41 	100   	-78.5758	12.9962	-114.637	-47.0153
42 	100   	-76.4297	13.6877	-114.637	-42.2944
43 	100   	-74.4807	14.3514	-114.637	-42.2944
44 	100   	-72.8524	14.6766	-114.637	-42.2944
45 	100   	-71.8443	15.2417	-114.637	-39.9018
46 	100   	-71.09  	14.9644	-114.637	-39.9018
47 	100   	-69.1509	13.6534	-99.6742	-39.9018
48 	100   	-66.9424	13.8692	-99.6742	-23.1361
49 	100   	-66.0837	14.375 	-99.6742	-23.1361
50 	100   	-64.2629	14.7903	-99.6742	-23.1361
51 	100   	-63.4833	14.6812	-99.6742	-23.1361
52 	100   	-61.4745	14.3317	-99.6742	-23.1361
53 	100   	-59.9766	13.901 	-99.6742	-23.1361
54 	100   	-58.1445	14.0182	-99.6742	-23.1361
55 	100   	-57.2197	14.6928	-99.6742	-12.2463
56 	100   	-54.819 	14.861 	-99.6742	-12.2463
57 	100   	-52.4475	15.8839	-91.3016	9.19529 
58 	100   	-51.6513	16.1524	-91.3016	9.19529 
59 	100   	-48.4454	18.5095	-91.3016	9.19529 
60 	100   	-46.2503	19.0608	-91.3016	9.19529 
61 	100   	-42.4935	20.3537	-91.3016	26.296  
62 	100   	-40.4519	20.9611	-91.3016	26.296  
63 	100   	-35.9818	22.6923	-77.0116	29.65   
64 	100   	-34.6011	23.5746	-76.326 	39.5734 
65 	100   	-30.7065	26.1156	-71.7981	44.8624 
66 	100   	-25.8108	25.9447	-70.9408	46.4285 
67 	100   	-19.027 	29.9167	-70.9408	58.1797 
68 	100   	-11.195 	33.5693	-70.9408	67.1212 
69 	100   	-8.25779	33.3729	-70.9408	67.1212 
70 	100   	-1.42591	32.9896	-70.9408	67.1212 
71 	100   	2.77865 	31.7497	-70.9408	67.1212 
72 	100   	7.89    	32.2012	-70.9408	67.1212 
73 	100   	12.5896 	33.9515	-70.9408	86.1097 
74 	100   	17.6119 	33.0359	-70.9408	86.1097 
75 	100   	25.577  	31.7285	-70.9408	86.1097 
76 	100   	29.1812 	29.3851	-70.9408	86.1097 
77 	100   	33.2957 	29.9798	-70.9408	96.5953 
78 	100   	38.2087 	27.4679	-39.2704	96.5953 
79 	100   	40.7567 	26.8935	-39.2704	96.5953 
80 	100   	44.2404 	26.6081	-39.2704	99.3367 
81 	100   	46.8113 	26.3919	-39.2704	99.3367 
82 	100   	51.9822 	26.7918	-39.2704	108.657 
83 	100   	54.4428 	26.7004	-39.2704	108.657 
84 	100   	58.693  	28.444 	-39.2704	116.499 
85 	100   	63.4068 	27.4355	-39.2704	116.499 
86 	100   	67.2201 	24.7026	-19.0045	116.499 
87 	100   	70.9316 	23.9438	0.735724	116.499 
88 	100   	74.5923 	21.7466	19.5872 	116.499 
89 	100   	76.0878 	21.2661	19.5872 	116.499 
90 	100   	77.0499 	20.6412	23.8383 	116.499 
91 	100   	80.0703 	20.7104	23.8383 	116.499 
92 	100   	82.9886 	19.7367	32.5079 	116.499 
93 	100   	84.3608 	19.1448	33.8562 	116.499 
94 	100   	86.9056 	18.3797	33.8562 	116.499 
95 	100   	88.9128 	17.6041	33.8562 	116.499 
96 	100   	90.9098 	16.7785	35.6013 	116.499 
97 	100   	92.6923 	15.8833	35.6013 	116.499 
98 	100   	93.1411 	15.9819	35.6013 	116.499 
99 	100   	94.7667 	15.2931	47.0195 	116.499 
100	100   	96.6222 	14.8157	51.119  	116.499 