gen 	nevals	avg     	std     	min   	max   
0   	200   	-251.256	197.518 	-1000 	-130  
1   	200   	-198.198	9.56065 	-200  	-130  
2   	200   	-195.836	13.7363 	-200  	-130  
3   	200   	-192.284	17.3872 	-200  	-130  
4   	200   	-185.632	20.7914 	-200  	-130  
5   	200   	-178.674	22.5506 	-200  	-130  
6   	200   	-168.836	24.1561 	-200  	-130  
7   	200   	-161.879	24.6054 	-200  	-130  
8   	200   	-156.561	24.352  	-200  	-130  
9   	200   	-150.999	22.356  	-200  	-130  
10  	200   	-144.658	18.4852 	-200  	-128.6
11  	200   	-139.683	14.7873 	-200  	-128.3
12  	200   	-137.218	13.5141 	-200  	-128.3
13  	200   	-134.381	9.33366 	-181.3	-128.3
14  	200   	-133.33 	8.59827 	-181.3	-128.3
15  	200   	-131.808	6.25201 	-181.3	-128.3
16  	200   	-131.21 	4.79164 	-162.8	-128.3
17  	200   	-130.658	3.72405 	-162.5	-123.2
18  	200   	-130.461	3.67525 	-162.5	-123.2
19  	200   	-130.333	3.72015 	-162.5	-123.2
20  	200   	-130.162	3.5528  	-162.5	-123.2
21  	200   	-129.828	3.45446 	-162.5	-123.2
22  	200   	-129.575	3.15477 	-162.5	-123.2
23  	200   	-129.428	3.22113 	-162.5	-123.2
24  	200   	-129.196	3.2387  	-162.5	-123.2
25  	200   	-129.015	3.19296 	-160.1	-123.2
26  	200   	-128.822	3.28337 	-160.1	-123.2
27  	200   	-128.404	3.30683 	-160.1	-123.1
28  	200   	-128.037	3.48744 	-160.1	-123.1
29  	200   	-127.535	3.68581 	-160.1	-123.1
30  	200   	-127.103	3.82337 	-160.1	-120.9
31  	200   	-126.623	3.92589 	-160.1	-120.9
32  	200   	-126.257	3.94856 	-160.1	-120.9
33  	200   	-125.649	3.92384 	-160.1	-120.9
34  	200   	-125.067	3.84888 	-160.1	-120.9
35  	200   	-124.66 	3.80706 	-160.1	-115.7
36  	200   	-124.196	3.66529 	-160.1	-115.7
37  	200   	-123.929	3.56878 	-160.1	-115.7
38  	200   	-123.653	3.46625 	-160.1	-115.7
39  	200   	-123.191	2.3815  	-140.9	-114.7
40  	200   	-122.828	2.50054 	-140.9	-113.7
41  	200   	-122.232	2.23017 	-129.7	-113.7
42  	200   	-121.741	2.62928 	-129.7	-113.7
43  	200   	-121.089	3.00306 	-128.6	-113.5
44  	200   	-120.458	3.18287 	-128.6	-113.5
45  	200   	-119.86 	3.36749 	-128.6	-113.5
46  	200   	-119.256	3.45014 	-128.6	-113.5
47  	200   	-118.522	3.47779 	-128.6	-113.5
48  	200   	-117.72 	3.4322  	-128.6	-113.5
49  	200   	-117.097	3.39965 	-128.6	-113.5
50  	200   	-116.455	3.20095 	-123.2	-113.5
51  	200   	-115.96 	3.0617  	-123.2	-113.1
52  	200   	-115.479	2.84573 	-123.2	-113.1
53  	200   	-115.089	2.6058  	-123.2	-113.1
54  	200   	-114.885	2.51279 	-123.2	-113.1
55  	200   	-114.694	2.39728 	-123.2	-113.1
56  	200   	-114.495	2.28424 	-123.2	-113  
57  	200   	-114.328	2.16698 	-123.2	-113  
58  	200   	-114.195	2.11579 	-123.2	-113  
59  	200   	-114.124	2.13458 	-123.2	-113  
60  	200   	-113.912	1.82889 	-123.2	-113  
61  	200   	-113.816	1.71398 	-123.2	-113  
62  	200   	-113.675	1.58239 	-122.9	-113  
63  	200   	-113.485	1.20976 	-122.9	-113  
64  	200   	-113.283	0.712609	-120.4	-113  
65  	200   	-113.221	0.56228 	-120.4	-113  
66  	200   	-113.177	0.551039	-120.4	-112.2
67  	200   	-113.158	0.55383 	-120.4	-112.2
68  	200   	-113.132	0.559353	-120.4	-112.2
69  	200   	-113.109	0.565083	-120.4	-112.2
70  	200   	-113.088	0.575428	-120.4	-112.2
71  	200   	-113.05 	0.589576	-120.4	-112.2
72  	200   	-113.019	0.602195	-120.4	-112.2
73  	200   	-112.955	0.632036	-120.4	-112.2
74  	200   	-112.887	0.658535	-120.4	-112.2
75  	200   	-112.801	0.681028	-120.4	-112.2
76  	200   	-112.726	0.692838	-120.4	-112.2
77  	200   	-112.668	0.699626	-120.4	-112.2
78  	200   	-112.583	0.687103	-120.4	-112.2
79  	200   	-112.5  	0.678012	-120.4	-112.2
80  	200   	-112.442	0.665077	-120.4	-112.2
81  	200   	-112.396	0.651524	-120.4	-112.2
82  	200   	-112.353	0.646754	-120.4	-110.9
83  	200   	-112.321	0.633608	-120.4	-110.9
84  	200   	-112.297	0.633002	-120.4	-110.9
85  	200   	-112.243	0.625735	-120.4	-110.9
86  	200   	-112.236	0.632854	-120.4	-110.9
87  	200   	-112.225	0.637554	-120.4	-110.9
88  	200   	-112.19 	0.658483	-120.4	-110.9
89  	200   	-112.159	0.680235	-120.4	-110.9
90  	200   	-112.13 	0.702567	-120.4	-110.9
91  	200   	-112.078	0.742391	-120.4	-110.9
92  	200   	-112.015	0.778614	-120.4	-110.9
93  	200   	-111.97 	0.795751	-120.4	-110.9
94  	200   	-111.858	0.837701	-120.4	-110.9
95  	200   	-111.772	0.863606	-120.4	-110.9
96  	200   	-111.686	0.880136	-120.4	-110.9
97  	200   	-111.564	0.891742	-120.4	-110.9
98  	200   	-111.48 	0.889061	-120.4	-110.9
99  	200   	-111.408	0.881359	-120.4	-110.9
100 	200   	-111.312	0.861579	-120.4	-110.9
101 	200   	-111.273	0.84963 	-120.4	-110.9
102 	200   	-111.209	0.829625	-120.4	-110.9
103 	200   	-111.152	0.805541	-120.4	-110.9
104 	200   	-111.094	0.776057	-120.4	-110.9
105 	200   	-111.063	0.75956 	-120.4	-110.9
106 	200   	-111.038	0.743745	-120.4	-110.9
107 	200   	-111.009	0.717927	-120.4	-110.9
108 	200   	-110.997	0.708758	-120.4	-110.9
109 	200   	-110.979	0.696246	-120.4	-110.9
110 	200   	-110.973	0.691716	-120.4	-110.9
111 	200   	-110.973	0.691716	-120.4	-110.9
112 	200   	-110.973	0.691716	-120.4	-110.9
113 	200   	-110.973	0.691716	-120.4	-110.9
114 	200   	-110.973	0.691716	-120.4	-110.9
115 	200   	-110.961	0.681535	-120.4	-110.9
116 	200   	-110.961	0.681535	-120.4	-110.9
117 	200   	-110.961	0.681535	-120.4	-110.9
118 	200   	-110.954	0.675858	-120.4	-110.9
119 	200   	-110.954	0.675858	-120.4	-110.9
120 	200   	-110.948	0.67007 	-120.4	-110.9
121 	200   	-110.948	0.67007 	-120.4	-110.9
122 	200   	-110.948	0.67007 	-120.4	-110.9
123 	200   	-110.948	0.67007 	-120.4	-110.9
124 	200   	-110.948	0.67007 	-120.4	-110.9
125 	200   	-110.948	0.67007 	-120.4	-110.9
126 	200   	-110.948	0.67007 	-120.4	-110.9
127 	200   	-110.948	0.67007 	-120.4	-110.9
128 	200   	-110.948	0.67007 	-120.4	-110.9
129 	200   	-110.948	0.67007 	-120.4	-110.9
130 	200   	-110.948	0.67007 	-120.4	-110.9
131 	200   	-110.948	0.67007 	-120.4	-110.9
132 	200   	-110.948	0.67007 	-120.4	-110.9
133 	200   	-110.948	0.67007 	-120.4	-110.9
134 	200   	-110.948	0.67007 	-120.4	-110.9
135 	200   	-110.948	0.67007 	-120.4	-110.9
136 	200   	-110.948	0.67007 	-120.4	-110.9
137 	200   	-110.948	0.67007 	-120.4	-110.9
138 	200   	-110.948	0.67007 	-120.4	-110.9
139 	200   	-110.948	0.67007 	-120.4	-110.9
140 	200   	-110.948	0.67007 	-120.4	-110.9
141 	200   	-110.948	0.67007 	-120.4	-110.9
142 	200   	-110.948	0.67007 	-120.4	-110.9
143 	200   	-110.948	0.67007 	-120.4	-110.9
144 	200   	-110.948	0.67007 	-120.4	-110.9
145 	200   	-110.948	0.67007 	-120.4	-110.9
146 	200   	-110.937	0.688562	-120.4	-108.7
147 	200   	-110.937	0.688562	-120.4	-108.7
148 	200   	-110.937	0.688562	-120.4	-108.7
149 	200   	-110.937	0.688562	-120.4	-108.7
150 	200   	-110.937	0.688562	-120.4	-108.7
151 	200   	-110.926	0.706399	-120.4	-108.7
152 	200   	-110.904	0.740296	-120.4	-108.7
153 	200   	-110.904	0.740296	-120.4	-108.7
154 	200   	-110.893	0.756435	-120.4	-108.7
155 	200   	-110.893	0.756435	-120.4	-108.7
156 	200   	-110.893	0.756435	-120.4	-108.7
157 	200   	-110.871	0.787261	-120.4	-108.7
158 	200   	-110.827	0.843829	-120.4	-108.7
159 	200   	-110.789	0.895309	-120.4	-107.8
160 	200   	-110.745	0.941634	-120.4	-107.8
161 	200   	-110.69 	0.993781	-120.4	-107.8
162 	200   	-110.597	1.07594 	-120.4	-107.8
163 	200   	-110.477	1.15585 	-120.4	-107.8
164 	200   	-110.35 	1.25216 	-120.4	-105.9
165 	200   	-110.224	1.32544 	-120.4	-105.9
166 	200   	-110.074	1.39113 	-120.4	-105.9
167 	200   	-109.935	1.43069 	-120.4	-105.9
168 	200   	-109.776	1.45281 	-120.4	-105.9
169 	200   	-109.678	1.46533 	-120.4	-105.9
170 	200   	-109.504	1.46909 	-120.4	-105.9
171 	200   	-109.405	1.47324 	-120.4	-105.9
172 	200   	-109.212	1.4562  	-120.4	-105.9
173 	200   	-109.08 	1.43852 	-120.4	-105.9
174 	200   	-108.959	1.41189 	-120.4	-105.9
175 	200   	-108.781	1.43223 	-120.4	-105.7
176 	200   	-108.639	1.46488 	-120.4	-105.7
177 	200   	-108.499	1.50663 	-120.4	-105.4
178 	200   	-108.312	1.51443 	-120.4	-105.4
179 	200   	-108.15 	1.54587 	-120.4	-105.4
180 	200   	-107.953	1.56195 	-120.4	-105.4
181 	200   	-107.737	1.59014 	-120.4	-105.4
182 	200   	-107.533	1.58635 	-120.4	-104.7
183 	200   	-107.351	1.62043 	-120.4	-104.7
184 	200   	-107.135	1.63596 	-120.4	-104.7
185 	200   	-107.068	1.66366 	-120.4	-104.7
186 	200   	-106.9  	1.62046 	-120.4	-104.7
187 	200   	-106.669	1.62331 	-120.4	-104.7
188 	200   	-106.468	1.57895 	-120.4	-104.7
189 	200   	-106.355	1.57888 	-120.4	-104.6
190 	200   	-106.207	1.53779 	-120.4	-104.6
191 	200   	-106.1  	1.53211 	-120.4	-104.6
192 	200   	-105.985	1.54072 	-120.4	-104.6
193 	200   	-105.903	1.53702 	-120.4	-104.6
194 	200   	-105.846	1.53254 	-120.4	-104.6
195 	200   	-105.718	1.51943 	-120.4	-104.6
196 	200   	-105.625	1.50604 	-120.4	-104.6
197 	200   	-105.534	1.50693 	-120.4	-104.6
198 	200   	-105.432	1.45436 	-120.4	-104.6
199 	200   	-105.377	1.44847 	-120.4	-104.6
200 	200   	-105.276	1.37928 	-120.4	-104.6
201 	200   	-105.194	1.33816 	-120.4	-104.6
202 	200   	-105.152	1.33098 	-120.4	-104.6
203 	200   	-105.125	1.33103 	-120.4	-104.6
204 	200   	-105.084	1.31973 	-120.4	-104.6
205 	200   	-105.037	1.29967 	-120.4	-104.6
206 	200   	-104.978	1.2324  	-120.4	-104.6
207 	200   	-104.963	1.22238 	-120.4	-104.6
208 	200   	-104.928	1.19554 	-120.4	-104.6
209 	200   	-104.903	1.19484 	-120.4	-104.6
210 	200   	-104.869	1.19248 	-120.4	-104.6
211 	200   	-104.858	1.19111 	-120.4	-104.6
212 	200   	-104.838	1.18977 	-120.4	-104.6
213 	200   	-104.814	1.17654 	-120.4	-104.6
214 	200   	-104.812	1.17663 	-120.4	-104.6
215 	200   	-104.809	1.17691 	-120.4	-104.6
216 	200   	-104.784	1.16233 	-120.4	-104.6
217 	200   	-104.761	1.14651 	-120.4	-104.6
218 	200   	-104.748	1.14166 	-120.4	-104.6
219 	200   	-104.728	1.1225  	-120.4	-104.6
220 	200   	-104.722	1.12139 	-120.4	-104.6
221 	200   	-104.711	1.11905 	-120.4	-104.6
222 	200   	-104.711	1.11905 	-120.4	-104.6
223 	200   	-104.706	1.11875 	-120.4	-104.6
224 	200   	-104.7  	1.11752 	-120.4	-104.6
225 	200   	-104.698	1.11736 	-120.4	-104.6
226 	200   	-104.698	1.11736 	-120.4	-104.6
227 	200   	-104.695	1.1172  	-120.4	-104.6
228 	200   	-104.695	1.11722 	-120.4	-104.6
229 	200   	-104.691	1.11695 	-120.4	-104.6
230 	200   	-104.691	1.11695 	-120.4	-104.6
231 	200   	-104.69 	1.11699 	-120.4	-104.6
232 	200   	-104.69 	1.11699 	-120.4	-104.6
233 	200   	-104.69 	1.11699 	-120.4	-104.6
234 	200   	-104.686	1.11587 	-120.4	-104.6
235 	200   	-104.686	1.11587 	-120.4	-104.6
236 	200   	-104.685	1.11578 	-120.4	-104.6
237 	200   	-104.683	1.11558 	-120.4	-104.6
238 	200   	-104.683	1.11558 	-120.4	-104.6
239 	200   	-104.683	1.11558 	-120.4	-104.6
240 	200   	-104.683	1.11558 	-120.4	-104.6
241 	200   	-104.683	1.11558 	-120.4	-104.6
242 	200   	-104.683	1.11558 	-120.4	-104.6
243 	200   	-104.683	1.11558 	-120.4	-104.6
244 	200   	-104.683	1.11558 	-120.4	-104.6
245 	200   	-104.683	1.11558 	-120.4	-104.6
246 	200   	-104.679	1.11443 	-120.4	-104.6
247 	200   	-104.679	1.11443 	-120.4	-104.6
248 	200   	-104.679	1.11443 	-120.4	-104.6
249 	200   	-104.679	1.11443 	-120.4	-104.6
250 	200   	-104.679	1.11443 	-120.4	-104.6
251 	200   	-104.679	1.11443 	-120.4	-104.6
252 	200   	-104.679	1.11443 	-120.4	-104.6
253 	200   	-104.679	1.11443 	-120.4	-104.6
254 	200   	-104.679	1.11443 	-120.4	-104.6
255 	200   	-104.679	1.11443 	-120.4	-104.6
256 	200   	-104.679	1.11443 	-120.4	-104.6
257 	200   	-104.679	1.11443 	-120.4	-104.6
258 	200   	-104.679	1.11443 	-120.4	-104.6
259 	200   	-104.679	1.11443 	-120.4	-104.6
260 	200   	-104.679	1.11443 	-120.4	-104.6
261 	200   	-104.679	1.11443 	-120.4	-104.6
262 	200   	-104.679	1.11443 	-120.4	-104.6
263 	200   	-104.679	1.11443 	-120.4	-104.6
264 	200   	-104.679	1.11443 	-120.4	-104.6
265 	200   	-104.679	1.11443 	-120.4	-104.6
266 	200   	-104.679	1.11443 	-120.4	-104.6
267 	200   	-104.679	1.11443 	-120.4	-104.6
268 	200   	-104.679	1.11443 	-120.4	-104.6
269 	200   	-104.679	1.11443 	-120.4	-104.6
270 	200   	-104.679	1.11443 	-120.4	-104.6
271 	200   	-104.679	1.11443 	-120.4	-104.6
272 	200   	-104.679	1.11443 	-120.4	-104.6
273 	200   	-104.679	1.11443 	-120.4	-104.6
274 	200   	-104.679	1.11443 	-120.4	-104.6
275 	200   	-104.679	1.11443 	-120.4	-104.6
276 	200   	-104.679	1.11443 	-120.4	-104.6
277 	200   	-104.679	1.11443 	-120.4	-104.6
278 	200   	-104.675	1.11614 	-120.4	-103.8
279 	200   	-104.675	1.11614 	-120.4	-103.8
280 	200   	-104.675	1.11614 	-120.4	-103.8
281 	200   	-104.671	1.11784 	-120.4	-103.8
282 	200   	-104.671	1.11784 	-120.4	-103.8
283 	200   	-104.671	1.11784 	-120.4	-103.8
284 	200   	-104.671	1.11784 	-120.4	-103.8
285 	200   	-104.671	1.11784 	-120.4	-103.8
286 	200   	-104.671	1.11784 	-120.4	-103.8
287 	200   	-104.671	1.11784 	-120.4	-103.8
288 	200   	-104.671	1.11784 	-120.4	-103.8
289 	200   	-104.663	1.12117 	-120.4	-103.8
290 	200   	-104.663	1.12117 	-120.4	-103.8
291 	200   	-104.663	1.12117 	-120.4	-103.8
292 	200   	-104.659	1.12282 	-120.4	-103.8
293 	200   	-104.655	1.12444 	-120.4	-103.8
294 	200   	-104.647	1.12765 	-120.4	-103.8
295 	200   	-104.643	1.12923 	-120.4	-103.8
296 	200   	-104.635	1.13233 	-120.4	-103.8
297 	200   	-104.631	1.13386 	-120.4	-103.8
298 	200   	-104.619	1.13835 	-120.4	-103.8
299 	200   	-104.615	1.13981 	-120.4	-103.8
300 	200   	-104.607	1.14269 	-120.4	-103.8
301 	200   	-104.591	1.14827 	-120.4	-103.8
302 	200   	-104.579	1.15228 	-120.4	-103.8
303 	200   	-104.555	1.1599  	-120.4	-103.8
304 	200   	-104.531	1.16698 	-120.4	-103.8
305 	200   	-104.487	1.17857 	-120.4	-103.8
306 	200   	-104.434	1.18998 	-120.4	-103.8
307 	200   	-104.398	1.19651 	-120.4	-103.8
308 	200   	-104.366	1.20131 	-120.4	-103.8
309 	200   	-104.33 	1.20574 	-120.4	-103.8
310 	200   	-104.29 	1.20938 	-120.4	-103.8
311 	200   	-104.254	1.21152 	-120.4	-103.8
312 	200   	-104.21 	1.21268 	-120.4	-103.8
313 	200   	-104.166	1.21225 	-120.4	-103.8
314 	200   	-104.146	1.21152 	-120.4	-103.8
315 	200   	-104.118	1.21013 	-120.4	-103.8
316 	200   	-104.094	1.20827 	-120.4	-103.8
317 	200   	-104.059	1.20479 	-120.4	-103.8
318 	200   	-104.051	1.20383 	-120.4	-103.8
319 	200   	-104.027	1.20061 	-120.4	-103.8
320 	200   	-104.019	1.19943 	-120.4	-103.8
321 	200   	-103.995	1.19556 	-120.4	-103.8
322 	200   	-103.995	1.19556 	-120.4	-103.8
323 	200   	-103.979	1.19271 	-120.4	-103.8
324 	200   	-103.955	1.18801 	-120.4	-103.8
325 	200   	-103.951	1.18718 	-120.4	-103.8
326 	200   	-103.943	1.18548 	-120.4	-103.8
327 	200   	-103.931	1.18281 	-120.4	-103.8
328 	200   	-103.923	1.18096 	-120.4	-103.8
329 	200   	-103.923	1.18096 	-120.4	-103.8
330 	200   	-103.923	1.18096 	-120.4	-103.8
331 	200   	-103.915	1.17906 	-120.4	-103.8
332 	200   	-103.903	1.17609 	-120.4	-103.8
